Engineering_Branch,Student_Status,CGPA,Python_Proficiency,CPP_Proficiency,Java_Proficiency,MATLAB_Proficiency,DSA_Understanding,Database_SQL_Understanding,OOP_Understanding,OS_Understanding,Technical_Tools,Project_Count,Project_Domain,Internship_Experience,Preparation_Domain,Confidence_Level,Job_Role
AI,Alumni (Graduated),8.61,5,4,3,5,4,2,3,3,ANSYS / Simulation tools; Data Analysis (Python / Excel / Pandas); Machine Learning / Deep Learning,1-2,Data Science / AI,Data Science / AI Internship,Core Engineering,3.0,Machine Learning Engineer
Metallurgy,4th year student,9.23,2,1,3,3,1,3,1,2,ANSYS / Simulation tools; CAD tools (SolidWorks / CATIA / AutoCAD); Circuit design tools,3-4,Core Engineering,Core Engineering Internship,Core Engineering,4.0,Manufacturing Engineer
Chemical,Alumni (Graduated),6.83,2,2,5,2,3,3,5,3,ANSYS / Simulation tools; Data Analysis (Python / Excel / Pandas),1-2,Data Science / AI,Software Development Internship,Software Development,3.0,DevOps Engineer
ECE,4th year student,8.48,4,1,1,2,3,5,2,3,CAD tools (SolidWorks / CATIA / AutoCAD); Circuit design tools; Data Analysis (Python / Excel / Pandas); Data Visualization (PowerBI / Tableau); Embedded systems / microcontrollers; Machine Learning / Deep Learning,3-4,Data Science / AI,Data Science / AI Internship,Data Science / AI,3.0,Data Analyst
CSE,4th year student,8.56,4,5,4,2,5,3,5,3,Data Analysis (Python / Excel / Pandas),3-4,Core Engineering,Software Development Internship,Software Development,4.0,Software Developer
CSE,Alumni (Graduated),6.96,1,2,1,3,2,2,1,1,ANSYS / Simulation tools; CAD tools (SolidWorks / CATIA / AutoCAD); Circuit design tools; Data Visualization (PowerBI / Tableau),1-2,Core Engineering,Core Engineering Internship,Core Engineering,3.0,Manufacturing Engineer
CSE,4th year student,8.6,2,5,1,2,3,1,3,4,Circuit design tools; Embedded systems / microcontrollers; MATLAB / Simulink,3-4,Robotics / Embedded Systems,Electronics / Embedded Internship,Embedded Systems / Electronics,3.0,Embedded Systems Engineer
Mechanical,Alumni (Graduated),7.75,1,2,1,2,2,2,1,1,ANSYS / Simulation tools; CAD tools (SolidWorks / CATIA / AutoCAD); Data Analysis (Python / Excel / Pandas),1-2,Core Engineering,Core Engineering Internship,Core Engineering,3.0,Civil Engineer
Electrical,4th year student,7.19,3,5,1,5,2,3,3,3,Circuit design tools; Embedded systems / microcontrollers; MATLAB / Simulink,5+,Robotics / Embedded Systems,Electronics / Embedded Internship,Embedded Systems / Electronics,5.0,Embedded Systems Engineer
CSE,4th year student,8.01,1,5,2,4,3,3,3,4,CAD tools (SolidWorks / CATIA / AutoCAD); Circuit design tools; Data Visualization (PowerBI / Tableau); Embedded systems / microcontrollers; MATLAB / Simulink,3-4,Robotics / Embedded Systems,Electronics / Embedded Internship,Data Science / AI,4.0,Embedded Systems Engineer
CSE,4th year student,7.99,3,5,4,2,5,3,5,4,Data Analysis (Python / Excel / Pandas); MATLAB / Simulink,5+,Software Development,Software Development Internship,Software Development,5.0,Software Developer
ECE,Alumni (Graduated),8.0,4,5,5,1,4,3,4,2,Data Analysis (Python / Excel / Pandas); Embedded systems / microcontrollers; Machine Learning / Deep Learning,5+,Software Development,Software Development Internship,Embedded Systems / Electronics,4.0,Software Developer
Chemical,Alumni (Graduated),6.15,1,1,2,5,3,3,1,2,ANSYS / Simulation tools; CAD tools (SolidWorks / CATIA / AutoCAD); Machine Learning / Deep Learning,3-4,Data Science / AI,Core Engineering Internship,Core Engineering,4.0,Manufacturing Engineer
Civil,4th year student,7.99,1,3,1,4,2,2,1,2,ANSYS / Simulation tools; CAD tools (SolidWorks / CATIA / AutoCAD); Data Visualization (PowerBI / Tableau),5+,Core Engineering,Core Engineering Internship,Core Engineering,3.0,Civil Engineer
Mechanical,Alumni (Graduated),6.75,1,2,1,2,2,1,2,3,ANSYS / Simulation tools; CAD tools (SolidWorks / CATIA / AutoCAD); MATLAB / Simulink,5+,Core Engineering,Core Engineering Internship,Core Engineering,3.0,Civil Engineer
Metallurgy,Alumni (Graduated),8.04,2,2,2,5,1,1,2,3,ANSYS / Simulation tools; CAD tools (SolidWorks / CATIA / AutoCAD); MATLAB / Simulink,1-2,Core Engineering,Data Science / AI Internship,Core Engineering,2.0,Mechanical Design Engineer
Electrical,4th year student,8.46,4,3,2,3,2,4,3,1,CAD tools (SolidWorks / CATIA / AutoCAD); Data Analysis (Python / Excel / Pandas); Data Visualization (PowerBI / Tableau),3-4,Data Science / AI,Data Science / AI Internship,Data Science / AI,3.0,Data Analyst
Mechanical,4th year student,7.85,1,1,1,3,1,1,2,1,ANSYS / Simulation tools; CAD tools (SolidWorks / CATIA / AutoCAD); Data Analysis (Python / Excel / Pandas),5+,Robotics / Embedded Systems,No internship,Core Engineering,3.0,Civil Engineer
CSE,4th year student,7.63,4,4,4,2,4,3,5,4,Data Analysis (Python / Excel / Pandas); Embedded systems / microcontrollers,5+,Data Science / AI,Software Development Internship,Software Development,3.0,Software Developer
CSE,4th year student,7.4,3,5,2,4,4,2,4,4,CAD tools (SolidWorks / CATIA / AutoCAD); Circuit design tools; Data Analysis (Python / Excel / Pandas); Embedded systems / microcontrollers; MATLAB / Simulink,3-4,Robotics / Embedded Systems,No internship,Embedded Systems / Electronics,4.0,Embedded Systems Engineer
ECE,Alumni (Graduated),7.53,3,4,4,2,5,5,5,3,Data Analysis (Python / Excel / Pandas); MATLAB / Simulink,5+,Software Development,Electronics / Embedded Internship,Software Development,4.0,Software Developer
CSE,4th year student,8.05,4,3,4,2,4,3,5,4,Data Analysis (Python / Excel / Pandas); Machine Learning / Deep Learning,3-4,Software Development,Core Engineering Internship,Software Development,4.0,DevOps Engineer
Mechanical,Alumni (Graduated),9.12,1,2,1,3,3,2,2,1,ANSYS / Simulation tools; CAD tools (SolidWorks / CATIA / AutoCAD); Data Visualization (PowerBI / Tableau); MATLAB / Simulink,0,Core Engineering,Core Engineering Internship,Core Engineering,5.0,Civil Engineer
ECE,4th year student,7.24,3,5,4,1,3,4,3,3,Circuit design tools; Data Analysis (Python / Excel / Pandas); Data Visualization (PowerBI / Tableau),3-4,Software Development,No internship,Software Development,5.0,Software Developer
CSE,4th year student,8.46,5,3,2,3,4,3,4,4,Data Analysis (Python / Excel / Pandas); Embedded systems / microcontrollers; Machine Learning / Deep Learning,5+,Data Science / AI,Data Science / AI Internship,Data Science / AI,4.0,Machine Learning Engineer
ECE,4th year student,7.92,3,4,2,3,3,3,4,4,Circuit design tools; Data Visualization (PowerBI / Tableau); Embedded systems / microcontrollers; MATLAB / Simulink,1-2,Robotics / Embedded Systems,Electronics / Embedded Internship,Embedded Systems / Electronics,3.0,Embedded Systems Engineer
Civil,4th year student,7.68,3,2,1,2,3,4,2,2,Data Analysis (Python / Excel / Pandas); Data Visualization (PowerBI / Tableau),3-4,Data Science / AI,Electronics / Embedded Internship,Data Science / AI,3.0,Data Analyst
AI,4th year student,8.19,4,5,3,2,5,3,4,4,Data Analysis (Python / Excel / Pandas); Machine Learning / Deep Learning,5+,Software Development,Software Development Internship,Software Development,3.0,Software Developer
Electrical,4th year student,8.17,1,4,2,3,3,1,3,3,Circuit design tools; Embedded systems / microcontrollers; MATLAB / Simulink,1-2,Robotics / Embedded Systems,Electronics / Embedded Internship,Data Science / AI,4.0,Embedded Systems Engineer
CSE,Alumni (Graduated),7.59,2,4,5,2,3,3,5,4,Data Analysis (Python / Excel / Pandas),5+,Mixed domains,Software Development Internship,Software Development,3.0,Software Developer
Chemical,4th year student,7.83,5,5,3,2,2,3,5,4,Circuit design tools; Data Analysis (Python / Excel / Pandas),3-4,Software Development,No internship,Software Development,4.0,DevOps Engineer
CSE,4th year student,8.64,5,4,4,1,4,5,5,4,ANSYS / Simulation tools; Data Analysis (Python / Excel / Pandas); MATLAB / Simulink; Machine Learning / Deep Learning,5+,Software Development,Software Development Internship,Software Development,5.0,Software Developer
CSE,4th year student,7.26,4,5,1,3,3,4,2,5,Circuit design tools; Embedded systems / microcontrollers; MATLAB / Simulink,3-4,Robotics / Embedded Systems,Electronics / Embedded Internship,Embedded Systems / Electronics,2.0,Embedded Systems Engineer
ECE,Alumni (Graduated),9.09,5,2,2,2,4,4,3,4,CAD tools (SolidWorks / CATIA / AutoCAD); Data Analysis (Python / Excel / Pandas); Data Visualization (PowerBI / Tableau); Embedded systems / microcontrollers; MATLAB / Simulink; Machine Learning / Deep Learning,3-4,Data Science / AI,Data Science / AI Internship,Data Science / AI,4.0,Data Scientist
Electrical,Alumni (Graduated),7.05,5,4,2,1,2,4,3,4,ANSYS / Simulation tools; Data Analysis (Python / Excel / Pandas),0,Software Development,Software Development Internship,Core Engineering,5.0,DevOps Engineer
CSE,Alumni (Graduated),9.16,3,3,1,2,4,4,4,2,Data Analysis (Python / Excel / Pandas); Data Visualization (PowerBI / Tableau); Machine Learning / Deep Learning,5+,Data Science / AI,Data Science / AI Internship,Data Science / AI,4.0,Data Analyst
Civil,4th year student,5.78,1,1,1,2,2,2,2,1,ANSYS / Simulation tools; CAD tools (SolidWorks / CATIA / AutoCAD),1-2,Core Engineering,Core Engineering Internship,Core Engineering,5.0,Civil Engineer
CSE,Alumni (Graduated),8.42,4,4,4,1,4,4,4,4,Data Analysis (Python / Excel / Pandas); MATLAB / Simulink; Machine Learning / Deep Learning,3-4,Software Development,Software Development Internship,Data Science / AI,3.0,Software Developer
Metallurgy,4th year student,7.08,2,1,1,3,2,2,1,2,ANSYS / Simulation tools; CAD tools (SolidWorks / CATIA / AutoCAD),3-4,Core Engineering,Electronics / Embedded Internship,Core Engineering,2.0,Manufacturing Engineer
Electrical,4th year student,6.8,2,5,3,3,5,1,3,3,Circuit design tools; Embedded systems / microcontrollers; MATLAB / Simulink,1-2,Robotics / Embedded Systems,Electronics / Embedded Internship,Embedded Systems / Electronics,4.0,Embedded Systems Engineer
CSE,4th year student,7.54,4,4,2,4,3,2,3,4,Circuit design tools; Embedded systems / microcontrollers; MATLAB / Simulink; Machine Learning / Deep Learning,3-4,Robotics / Embedded Systems,Electronics / Embedded Internship,Embedded Systems / Electronics,4.0,Embedded Systems Engineer
CSE,Alumni (Graduated),7.97,3,5,3,2,4,3,5,4,CAD tools (SolidWorks / CATIA / AutoCAD); Data Analysis (Python / Excel / Pandas),3-4,Software Development,Software Development Internship,Software Development,5.0,Software Developer
Civil,4th year student,8.91,2,2,1,3,1,1,1,2,ANSYS / Simulation tools; CAD tools (SolidWorks / CATIA / AutoCAD); Circuit design tools; MATLAB / Simulink,1-2,Core Engineering,Core Engineering Internship,Embedded Systems / Electronics,5.0,Mechanical Design Engineer
CSE,Alumni (Graduated),9.54,4,3,4,2,3,4,3,3,CAD tools (SolidWorks / CATIA / AutoCAD); Data Analysis (Python / Excel / Pandas); Data Visualization (PowerBI / Tableau),3-4,Data Science / AI,Data Science / AI Internship,Data Science / AI,2.0,Data Scientist
Chemical,Alumni (Graduated),7.83,4,4,3,2,2,4,4,2,Data Analysis (Python / Excel / Pandas); Data Visualization (PowerBI / Tableau); Machine Learning / Deep Learning,5+,Data Science / AI,Data Science / AI Internship,Data Science / AI,3.0,Data Scientist
Civil,4th year student,6.94,1,1,1,5,1,1,1,1,ANSYS / Simulation tools; CAD tools (SolidWorks / CATIA / AutoCAD); Circuit design tools; Machine Learning / Deep Learning,1-2,Core Engineering,Core Engineering Internship,Core Engineering,2.0,Civil Engineer
Metallurgy,4th year student,9.31,4,4,4,1,4,2,5,5,Circuit design tools; Data Analysis (Python / Excel / Pandas),5+,Software Development,Software Development Internship,Software Development,4.0,Software Developer
ECE,4th year student,8.5,5,3,3,4,4,3,3,3,Data Analysis (Python / Excel / Pandas); Machine Learning / Deep Learning,3-4,Data Science / AI,Data Science / AI Internship,Data Science / AI,3.0,Machine Learning Engineer
CSE,4th year student,7.96,4,2,1,2,2,5,1,3,Data Analysis (Python / Excel / Pandas); Data Visualization (PowerBI / Tableau); MATLAB / Simulink,1-2,Data Science / AI,Data Science / AI Internship,Embedded Systems / Electronics,3.0,Data Analyst
AI,Alumni (Graduated),7.99,4,1,3,3,3,4,4,4,Data Analysis (Python / Excel / Pandas); Embedded systems / microcontrollers,5+,Software Development,Software Development Internship,Software Development,4.0,DevOps Engineer
ECE,4th year student,7.68,5,4,3,4,3,4,4,4,ANSYS / Simulation tools; CAD tools (SolidWorks / CATIA / AutoCAD); Data Analysis (Python / Excel / Pandas); Data Visualization (PowerBI / Tableau); Embedded systems / microcontrollers; MATLAB / Simulink; Machine Learning / Deep Learning,5+,Core Engineering,Data Science / AI Internship,Data Science / AI,2.0,Data Scientist
Mechanical,Alumni (Graduated),7.37,1,2,2,4,1,2,1,2,ANSYS / Simulation tools; CAD tools (SolidWorks / CATIA / AutoCAD); Data Analysis (Python / Excel / Pandas); Machine Learning / Deep Learning,3-4,Core Engineering,Core Engineering Internship,Core Engineering,4.0,Manufacturing Engineer
AI,Alumni (Graduated),6.95,5,2,1,4,3,5,2,3,Data Analysis (Python / Excel / Pandas); Data Visualization (PowerBI / Tableau),3-4,Data Science / AI,Data Science / AI Internship,Data Science / AI,4.0,Data Analyst
AI,4th year student,7.14,5,4,2,1,3,2,4,4,Data Analysis (Python / Excel / Pandas),5+,Software Development,Software Development Internship,Software Development,5.0,DevOps Engineer
CSE,Alumni (Graduated),7.11,4,4,4,3,4,5,3,3,Circuit design tools; Data Analysis (Python / Excel / Pandas),1-2,Software Development,Software Development Internship,Software Development,3.0,Software Developer
AI,Alumni (Graduated),8.77,4,3,2,5,4,3,3,4,ANSYS / Simulation tools; Data Analysis (Python / Excel / Pandas); Data Visualization (PowerBI / Tableau); Machine Learning / Deep Learning,3-4,Data Science / AI,Data Science / AI Internship,Data Science / AI,3.0,Machine Learning Engineer
AI,Alumni (Graduated),6.79,4,4,4,2,4,3,4,4,ANSYS / Simulation tools; Data Analysis (Python / Excel / Pandas); Data Visualization (PowerBI / Tableau),3-4,Software Development,Electronics / Embedded Internship,Software Development,5.0,Software Developer
AI,4th year student,7.44,4,2,1,1,3,4,2,3,Data Analysis (Python / Excel / Pandas); Data Visualization (PowerBI / Tableau),3-4,Data Science / AI,Data Science / AI Internship,Data Science / AI,4.0,Data Analyst
ECE,4th year student,7.09,5,4,2,3,4,5,2,3,Data Analysis (Python / Excel / Pandas); Data Visualization (PowerBI / Tableau); MATLAB / Simulink; Machine Learning / Deep Learning,5+,Data Science / AI,Data Science / AI Internship,Data Science / AI,4.0,Data Scientist
AI,4th year student,7.87,5,4,3,3,4,3,4,4,CAD tools (SolidWorks / CATIA / AutoCAD); Data Analysis (Python / Excel / Pandas); MATLAB / Simulink; Machine Learning / Deep Learning,5+,Data Science / AI,Data Science / AI Internship,Data Science / AI,3.0,Machine Learning Engineer
ECE,Alumni (Graduated),7.71,4,2,4,2,5,5,4,3,CAD tools (SolidWorks / CATIA / AutoCAD); Data Analysis (Python / Excel / Pandas); Data Visualization (PowerBI / Tableau); Embedded systems / microcontrollers; Machine Learning / Deep Learning,3-4,Data Science / AI,Data Science / AI Internship,Core Engineering,4.0,Data Scientist
ECE,Alumni (Graduated),7.31,3,3,5,1,5,4,5,3,Data Analysis (Python / Excel / Pandas),5+,Software Development,Software Development Internship,Consulting / Management,4.0,Software Developer
CSE,Alumni (Graduated),7.27,3,4,3,3,2,4,3,4,ANSYS / Simulation tools; CAD tools (SolidWorks / CATIA / AutoCAD); Data Analysis (Python / Excel / Pandas); Embedded systems / microcontrollers,0,Software Development,Software Development Internship,Software Development,4.0,DevOps Engineer
ECE,Alumni (Graduated),6.46,4,5,5,1,3,3,4,3,CAD tools (SolidWorks / CATIA / AutoCAD); Data Analysis (Python / Excel / Pandas); MATLAB / Simulink,3-4,Software Development,Software Development Internship,Software Development,4.0,Software Developer
CSE,4th year student,8.03,5,5,4,2,4,4,5,2,Data Analysis (Python / Excel / Pandas),5+,Software Development,Software Development Internship,Consulting / Management,5.0,Software Developer
CSE,Alumni (Graduated),8.25,4,3,5,3,4,4,3,3,ANSYS / Simulation tools; Data Analysis (Python / Excel / Pandas); Data Visualization (PowerBI / Tableau); Machine Learning / Deep Learning,3-4,Data Science / AI,Data Science / AI Internship,Data Science / AI,4.0,Data Scientist
AI,4th year student,8.31,5,2,2,3,4,4,2,2,Circuit design tools; Data Analysis (Python / Excel / Pandas); Data Visualization (PowerBI / Tableau),5+,Data Science / AI,Data Science / AI Internship,Data Science / AI,2.0,Data Analyst
Metallurgy,Alumni (Graduated),8.59,5,4,3,2,5,3,5,4,CAD tools (SolidWorks / CATIA / AutoCAD); Data Analysis (Python / Excel / Pandas),3-4,Software Development,Software Development Internship,Software Development,4.0,Software Developer
CSE,4th year student,8.01,5,3,3,4,4,4,3,3,Data Analysis (Python / Excel / Pandas); MATLAB / Simulink; Machine Learning / Deep Learning,3-4,Data Science / AI,Data Science / AI Internship,Data Science / AI,4.0,Machine Learning Engineer
AI,Alumni (Graduated),6.4,5,3,4,2,4,4,4,4,ANSYS / Simulation tools; Data Analysis (Python / Excel / Pandas); Machine Learning / Deep Learning,5+,Mixed domains,Software Development Internship,Software Development,4.0,DevOps Engineer
Metallurgy,4th year student,7.88,3,4,1,4,2,2,4,2,ANSYS / Simulation tools; CAD tools (SolidWorks / CATIA / AutoCAD); MATLAB / Simulink,3-4,Robotics / Embedded Systems,Core Engineering Internship,Core Engineering,3.0,Mechanical Design Engineer
CSE,4th year student,7.87,3,4,3,2,3,4,4,3,Data Analysis (Python / Excel / Pandas); Machine Learning / Deep Learning,1-2,Software Development,Software Development Internship,Software Development,4.0,Software Developer
CSE,Alumni (Graduated),7.11,4,3,4,2,4,4,4,3,Data Analysis (Python / Excel / Pandas); Machine Learning / Deep Learning,3-4,Software Development,Software Development Internship,Software Development,5.0,DevOps Engineer
